Villar Perosa comune,Villar Perosa comune.1
,
Villar Perosa – VedutaScorcio di Villar Perosa,Villar Perosa – VedutaScorcio di Villar Perosa
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Marco Ventre (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,44°55′N 7°15′E
Altitudine,530 m s.l.m.
Superficie,"11,42 km²"
Abitanti,3 890[1] (30-11-2025)
Densità,"340,63 ab./km²"
Frazioni,"Artero, Azzario, Barbos, Bolombardo, Campassi, Cappelleria, Careiria, Casavecchia, Cascina Grossa, Cascina Marronea, Caserme, Cavallari, Ciabot, Ciabot Comba, Ciardossina, Ciardossini, Ciarriere, Comborsiera, Didiera, Droglia, Frieri, Gottieri, Icle, La Croce, Miandassa, Molliere, Morana, Muretti, Odriva, Pra Martino, Prietti, Russa, Saretto, Sartetti, Serre, Vignassa, Vinçon"
Comuni confinanti,"Inverso Pinasca, Pinasca, Porte, San Germano Chisone, San Pietro Val Lemina"
Altre informazioni,Altre informazioni
Cod. postale,10069
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001307
Cod. catastale,M014
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 149 GG[3]"
Nome abitanti,villaresi
Patrono,san Pietro
Giorno festivo,29 giugno; ultimo lunedì di luglio (festa patronale)
Cartografia,Cartografia
Villar Perosa,Villar Perosa
Villar Perosa – MappaLocalizzazione del comune di Villar Perosa nella città metropolitana di Torino.,Villar Perosa – MappaLocalizzazione del comune di Villar Perosa nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
