Baceno comune,Baceno comune.1
,
Baceno – Veduta,Baceno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Andrea Vicini (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°16′N 8°19′E
Altitudine,655 m s.l.m.
Superficie,"77,27 km²"
Abitanti,865[1] (30-11-2025)
Densità,"11,19 ab./km²"
Frazioni,"Beola, Crampiolo, Crino, Croveo, Devero, Goglio, Graglia, Osso, Uresso, Verampio"
Comuni confinanti,"Binn (CH-VS), Crodo, Formazza, Grengiols (CH-VS), Premia, Varzo"
Altre informazioni,Altre informazioni
Cod. postale,28861
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103006
Cod. catastale,A534
Targa,VB
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 156 GG[3]"
Nome abitanti,bacenesi
Patrono,san Gaudenzio
Giorno festivo,22 gennaio
Cartografia,Cartografia
Baceno,Baceno
Baceno – MappaPosizione di Baceno nella provincia del Verbano-Cusio-Ossola,Baceno – MappaPosizione di Baceno nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
