Oggebbio comune,Oggebbio comune.1
,
Oggebbio – VedutaPanorama,Oggebbio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Alessio Ferrari (lista civica Noi per Oggebbio) dal 26-5-2019
Territorio,Territorio
Coordinate,45°59′N 8°39′E
Altitudine,265 m s.l.m.
Superficie,"21,44[1] km²"
Abitanti,797[2] (30-11-2025)
Densità,"37,17 ab./km²"
Frazioni,"Barbè, Cadessino, Cadivecchio, Camogno, Dumera, Gonte (sede comunale), Mozzola, Novaglio, Piancavallo, Piazza, Pieggio, Quarcino, Rancone, Spasolo, Travallino[1]"
Comuni confinanti,"Aurano, Brezzo di Bedero (VA), Cannero Riviera, Castelveccana (VA), Ghiffa, Porto Valtravaglia (VA), Premeno[1]"
Altre informazioni,Altre informazioni
Cod. postale,28824
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103049
Cod. catastale,G007
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 512 GG[4]"
Nome abitanti,oggebbiesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Oggebbio,Oggebbio
Oggebbio – MappaPosizione di Oggebbio nella provincia del Verbano-Cusio-Ossola,Oggebbio – MappaPosizione di Oggebbio nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
