Carrosio comune,Carrosio comune.1
,
Carrosio – Veduta,Carrosio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Corrado Guglielmino (lista civica Per Carrosio) dal 13-6-2022
Territorio,Territorio
Coordinate,44°39′33″N 8°49′57″E
Altitudine,254 m s.l.m.
Superficie,"6,92 km²"
Abitanti,516[1] (30-11-2025)
Densità,"74,57 ab./km²"
Comuni confinanti,"Arquata Scrivia, Gavi, Voltaggio"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006035
Cod. catastale,B840
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 695 GG[3]"
Nome abitanti,carrosiani
Patrono,santa Croce
Giorno festivo,14 settembre
Cartografia,Cartografia
Carrosio,Carrosio
Carrosio – MappaMappa del comune di Carrosio all'interno della provincia di Alessandria,Carrosio – MappaMappa del comune di Carrosio all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
