Cassinelle comune,Cassinelle comune.1
,
Cassinelle – Veduta,Cassinelle – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Roberto Gallo (lista civica Patto per Cassinelle) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°36′09″N 8°33′52″E
Altitudine,360 m s.l.m.
Superficie,"23,77 km²"
Abitanti,842[1] (30-11-2025)
Densità,"35,42 ab./km²"
Frazioni,Bandita
Comuni confinanti,"Cremolino, Molare, Morbello, Ponzone"
Altre informazioni,Altre informazioni
Cod. postale,15070
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006044
Cod. catastale,C030
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 785 GG[3]"
Nome abitanti,cassinellesi
Patrono,Santa Margherita
Giorno festivo,20 luglio
Cartografia,Cartografia
Cassinelle,Cassinelle
Cassinelle – MappaMappa del comune di Cassinelle all'interno della provincia di Alessandria,Cassinelle – MappaMappa del comune di Cassinelle all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
