Fresonara comune,Fresonara comune.1
,
Fresonara – VedutaIl municipio,Fresonara – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Paola Penovi (lista civica Per Fresonara) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°47′02″N 8°41′14″E
Altitudine,143 m s.l.m.
Superficie,"6,93 km²"
Abitanti,646[1] (30-11-2025)
Densità,"93,22 ab./km²"
Comuni confinanti,"Basaluzzo, Bosco Marengo, Predosa"
Altre informazioni,Altre informazioni
Cod. postale,15064
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006074
Cod. catastale,D797
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 671 GG[3]"
Nome abitanti,fresonaresi
Patrono,Natività di Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Fresonara,Fresonara
Fresonara – MappaMappa del Comune di Fresonara all'interno della Provincia di Alessandria,Fresonara – MappaMappa del Comune di Fresonara all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
