Montaldeo comune,Montaldeo comune.1
,
Montaldeo – VedutaPanorama,Montaldeo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Delorenzi Marco (lista civica Montaldeo per tutti) dal 9-6-2024
Territorio,Territorio
Coordinate,44°40′05″N 8°43′52″E
Altitudine,332 m s.l.m.
Superficie,"5,38 km²"
Abitanti,205[1] (30-11-2025)
Densità,"38,1 ab./km²"
Comuni confinanti,"Casaleggio Boiro, Castelletto d'Orba, Lerma, Mornese, Parodi Ligure, San Cristoforo"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006103
Cod. catastale,F403
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 664 GG[3]"
Nome abitanti,montaldesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Montaldeo,Montaldeo
Montaldeo – MappaMappa del comune di Montaldeo all'interno della provincia di Alessandria,Montaldeo – MappaMappa del comune di Montaldeo all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
