Montegioco comune,Montegioco comune.1
,
Montegioco – Veduta,Montegioco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Andrea Ferrari (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°50′19″N 8°57′22″E
Altitudine,197 m s.l.m.
Superficie,"5,45 km²"
Abitanti,269[1] (30-11-2025)
Densità,"49,36 ab./km²"
Frazioni,"Capanna, Fabbrica, Faravella, Montegioco Alto, Palazzo, Piaggio, Pragrasso, Saliceti"
Comuni confinanti,"Avolasca, Cerreto Grue, Costa Vescovato, Monleale, Montemarzino, Sarezzano"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006107
Cod. catastale,F518
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 648 GG[3]"
Nome abitanti,montegiochesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Montegioco,Montegioco
Montegioco – MappaMappa del Comune di Montegioco all'interno della Provincia di Alessandria,Montegioco – MappaMappa del Comune di Montegioco all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
