Ozzano Monferrato comune,Ozzano Monferrato comune.1
,
Ozzano Monferrato – VedutaPanorama,Ozzano Monferrato – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Flavia Colombano (lista civica Tradizione nell'innovazione) dal 9-6-2024
Territorio,Territorio
Coordinate,45°06′33″N 8°22′23″E
Altitudine,246 m s.l.m.
Superficie,"15,18 km²"
Abitanti,1 320[1] (30-11-2025)
Densità,"86,96 ab./km²"
Comuni confinanti,"Casale Monferrato, Cella Monte, Cereseto, Pontestura, Rosignano Monferrato, Sala Monferrato, San Giorgio Monferrato, Treville"
Altre informazioni,Altre informazioni
Cod. postale,15039
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006123
Cod. catastale,G204
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 689 GG[3]"
Nome abitanti,ozzanesi
Giorno festivo,24 giugno
Cartografia,Cartografia
Ozzano Monferrato,Ozzano Monferrato
Ozzano Monferrato – MappaMappa del Comune di Ozzano Monferrato all'interno della Provincia di Alessandria,Ozzano Monferrato – MappaMappa del Comune di Ozzano Monferrato all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
