Pozzol Groppo comune,Pozzol Groppo comune.1
,
Pozzol Groppo – VedutaVeduta di San Lorenzo,Pozzol Groppo – VedutaVeduta di San Lorenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Luciano Gilio Barbieri (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°52′44″N 9°01′51″E
Altitudine,369 m s.l.m.
Superficie,"14,08 km²"
Abitanti,313[1] (30-11-2025)
Densità,"22,23 ab./km²"
Frazioni,"Biagasco, Brienzone, Ca' D'Andrino, Ca' di Bruno, Casa Franchini, Casa Lucchi, Fracchio, Groppo Superiore, Monastero, Mongarizzo, Montemerlano, Monticelli, San Lorenzo (sede comunale)"
Comuni confinanti,"Cecima (PV), Godiasco Salice Terme (PV), Momperone, Montemarzino, Volpedo"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006137
Cod. catastale,G960
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 879 GG[3]"
Nome abitanti,pozzolgroppesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Pozzol Groppo,Pozzol Groppo
Pozzol Groppo – MappaMappa del Comune di Pozzol Groppo all'interno della Provincia di Alessandria,Pozzol Groppo – MappaMappa del Comune di Pozzol Groppo all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
