Sale comune,Sale comune.1
,
Sale – Veduta,Sale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Enrico Santi (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°58′54″N 8°48′37″E
Altitudine,83 m s.l.m.
Superficie,"44,92 km²"
Abitanti,3 858[1] (30-11-2025)
Densità,"85,89 ab./km²"
Frazioni,"Gerbidi, Casoni, Molineri"
Comuni confinanti,"Alessandria, Alluvioni Piovera, Castelnuovo Scrivia, Guazzora, Isola Sant'Antonio, Tortona"
Altre informazioni,Altre informazioni
Cod. postale,15045
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006151
Cod. catastale,H694
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 484 GG[3]"
Nome abitanti,salesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Sale,Sale
Sale – MappaMappa del Comune di Sale all'interno della Provincia di Alessandria,Sale – MappaMappa del Comune di Sale all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
