Sezzadio comune,Sezzadio comune.1
,
Sezzadio – VedutaVeduta,Sezzadio – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Giancarlo Triggiani (lista civica Viva Sezzadio) dal 9-6-2024
Territorio,Territorio
Coordinate,44°47′09″N 8°34′25″E
Altitudine,127 m s.l.m.
Superficie,"34,32 km²"
Abitanti,1 188[1] (30-11-2025)
Densità,"34,62 ab./km²"
Frazioni,Boschi
Comuni confinanti,"Carpeneto, Cassine, Castelnuovo Bormida, Castelspina, Gamalero, Montaldo Bormida, Predosa, Rivalta Bormida"
Altre informazioni,Altre informazioni
Cod. postale,15079
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006161
Cod. catastale,I711
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 589 GG[3]"
Nome abitanti,sezzadiesi
Patrono,sant'Innocenzo
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Sezzadio,Sezzadio
Sezzadio – MappaMappa del Comune di Sezzadio all'interno della Provincia di Alessandria,Sezzadio – MappaMappa del Comune di Sezzadio all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
