Terruggia comune,Terruggia comune.1
,
Terruggia – VedutaPanorama del paese,Terruggia – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Maria Luisa Musso (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°05′00″N 8°26′39″E
Altitudine,199 m s.l.m.
Superficie,"7,27 km²"
Abitanti,858[1] (30-11-2025)
Densità,"118,02 ab./km²"
Comuni confinanti,"Casale Monferrato, Rosignano Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15030
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006171
Cod. catastale,L139
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 649 GG[3]"
Nome abitanti,terruggesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Terruggia,Terruggia
Terruggia – MappaMappa del Comune di Terruggia all'interno della Provincia di Alessandria,Terruggia – MappaMappa del Comune di Terruggia all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
