Castagnole delle Lanze comune,Castagnole delle Lanze comune.1
,
Castagnole delle Lanze – VedutaVeduta aerea,Castagnole delle Lanze – VedutaVeduta aerea
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Calogero Mancuso (lista civica Progetto Castagnole Lanze) dal 26-5-2014
Territorio,Territorio
Coordinate,44°45′08″N 8°09′05″E
Altitudine,271 m s.l.m.
Superficie,"21,57 km²"
Abitanti,3 666[1] (30-11-2025)
Densità,"169,96 ab./km²"
Frazioni,"Annunziata, Carossi, Farinere, Olmo, Piani, Rivella, San Bartolomeo, San Defendente, San Grato, San Lorenzo, San Pietro, San Rocco, Santa Maria, Val Bera, Valle Tanaro"
Comuni confinanti,"Castiglione Tinella (CN), Coazzolo, Costigliole d'Asti, Govone (CN), Magliano Alfieri (CN), Neive (CN)"
Altre informazioni,Altre informazioni
Cod. postale,14054
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005022
Cod. catastale,C049
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 522 GG[3]"
Nome abitanti,castagnolesi
Patrono,Pietro apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Castagnole delle Lanze,Castagnole delle Lanze
Castagnole delle Lanze – MappaMappa di localizzazione del comune di Castagnole delle Lanze nella provincia di Asti,Castagnole delle Lanze – MappaMappa di localizzazione del comune di Castagnole delle Lanze nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
