Mombaruzzo comune,Mombaruzzo comune.1
,
Mombaruzzo – VedutaPanorama,Mombaruzzo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Carla Luigina Scarrone (lista civica Impegno Comune per Mombaruzzo) dal 9-6-2024
Territorio,Territorio
Coordinate,44°46′21″N 8°26′57″E
Altitudine,275 m s.l.m.
Superficie,"22,4 km²"
Abitanti,888[1] (30-11-2025)
Densità,"39,64 ab./km²"
Frazioni,"Bazzana, Borgo Cervino, Casalotto, Mombaruzzo Stazione"
Comuni confinanti,"Bruno, Carentino (AL), Cassine (AL), Castelnuovo Belbo, Fontanile, Frascaro (AL), Gamalero (AL), Maranzana, Nizza Monferrato, Quaranti, Ricaldone (AL)"
Altre informazioni,Altre informazioni
Cod. postale,14046
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005065
Cod. catastale,F311
Targa,AT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 713 GG[3]"
Nome abitanti,mombaruzzesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Mombaruzzo,Mombaruzzo
Mombaruzzo – MappaMappa di localizzazione del comune di Mombaruzzo nella provincia di Asti,Mombaruzzo – MappaMappa di localizzazione del comune di Mombaruzzo nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
