Montafia comune,Montafia comune.1
,
Montafia – Veduta,Montafia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Giovanni Marchesi (lista civica Progetto Montafia) dal 26-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°59′25″N 8°01′33″E
Altitudine,300 m s.l.m.
Superficie,"14,5 km²"
Abitanti,936[1] (30-11-2025)
Densità,"64,55 ab./km²"
Frazioni,"Bagnasco, Valdelserro, Vignole, Zolfo"
Comuni confinanti,"Buttigliera d'Asti, Capriglio, Cortazzone, Piea, Piovà Massaia, Roatto, San Paolo Solbrito, Viale, Villanova d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14014
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005073
Cod. catastale,F390
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 706 GG[3]"
Nome abitanti,montafiesi
Patrono,san Dionigi
Giorno festivo,9 ottobre
Cartografia,Cartografia
Montafia,Montafia
Montafia – MappaMappa di localizzazione del comune di Montafia nella provincia di Asti,Montafia – MappaMappa di localizzazione del comune di Montafia nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
