Callabiana comune,Callabiana comune.1
,
Callabiana – VedutaPanorama,Callabiana – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Lorenzo Vercellotti (lista civica Per Callabiana) dall'8-6-2009
Territorio,Territorio
Coordinate,45°37′54″N 8°05′58″E
Altitudine,731 m s.l.m.
Superficie,"6,56 km²"
Abitanti,145[1] (30-11-2025)
Densità,"22,1 ab./km²"
Frazioni,"Cordaro, Corte, Fusero, Lucca, Pianezze, Ribatto, Socco, Nelva, Pettani, Stellio, Trabbia, Vacchione, Valle, Virla"
Comuni confinanti,"Andorno Micca, Bioglio, Camandona, Gaby (AO), Pettinengo, Piatto, Piedicavallo, Tavigliano, Vallanzengo"
Altre informazioni,Altre informazioni
Cod. postale,13821
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096008
Cod. catastale,B417
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 253 GG[3]"
Nome abitanti,callabianesi
Patrono,Madonna degli Angeli
Giorno festivo,15 agosto
Cartografia,Cartografia
Callabiana,Callabiana
Callabiana – Mappa,Callabiana – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
