Genola comune,Genola comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Flavio Gastaldi (Lega) dal 27-5-2019
Territorio,Territorio
Coordinate,44°35′N 7°40′E
Altitudine,345 m s.l.m.
Superficie,"13,72 km²"
Abitanti,2 567[1] (30-11-2025)
Densità,"187,1 ab./km²"
Comuni confinanti,"Fossano, Savigliano"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004096
Cod. catastale,D967
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 741 GG[3]"
Nome abitanti,genolesi
Patrono,san Marziano
Giorno festivo,terza domenica di maggio
Cartografia,Cartografia
Genola,Genola
Genola – MappaPosizione di Genola nella provincia di Cuneo,Genola – MappaPosizione di Genola nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
