Lequio Tanaro comune,Lequio Tanaro comune.1
,
Lequio Tanaro – VedutaVista dalla fondovalle Tanaro,Lequio Tanaro – VedutaVista dalla fondovalle Tanaro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Raffaele Dalmazzo (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,44°34′N 7°53′E
Altitudine,328 m s.l.m.
Superficie,"12,2 km²"
Abitanti,734[1] (30-11-2025)
Densità,"60,16 ab./km²"
Frazioni,Costamagna
Comuni confinanti,"Bene Vagienna, Dogliani, Farigliano, Monchiero, Narzole, Novello, Piozzo"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004107
Cod. catastale,E539
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 722 GG[3]"
Nome abitanti,lequiesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Lequio Tanaro,Lequio Tanaro
Lequio Tanaro – MappaPosizione di Lequio Tanaro nella provincia di Cuneo,Lequio Tanaro – MappaPosizione di Lequio Tanaro nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
