Montanera comune,Montanera comune.1
,
Montanera – VedutaEntrata in paese,Montanera – VedutaEntrata in paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Tommaso Masera (lista civica) dal 26-5-2014
Data di istituzione,Dato Istat - Popolazione residente al 30 giugno 2024 (dato provvisorio).
Territorio,Territorio
Coordinate,44°28′N 7°40′E
Altitudine,427 m s.l.m.
Superficie,"11,63 km²"
Abitanti,684[1] (30-11-2025)
Densità,"58,81 ab./km²"
Comuni confinanti,"Castelletto Stura, Centallo, Fossano, Morozzo, Sant'Albano Stura"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004136
Cod. catastale,F424
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 879 GG[3]"
Nome abitanti,montaneresi
Patrono,san Magno[non chiaro]
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Montanera,Montanera
Montanera – MappaPosizione di Montanera nella provincia di Cuneo,Montanera – MappaPosizione di Montanera nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
