Neviglie comune,Neviglie comune.1
,
Neviglie – VedutaPanorama,Neviglie – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Corrado Benotto (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°41′N 8°07′E
Altitudine,370 m s.l.m.
Superficie,"7,93 km²"
Abitanti,352[1] (30-11-2025)
Densità,"44,39 ab./km²"
Frazioni,Castellero
Comuni confinanti,"Mango, Neive, Treiso, Trezzo Tinella"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004149
Cod. catastale,F883
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 887 GG[3]"
Nome abitanti,nevigliesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Neviglie,Neviglie
Neviglie – MappaPosizione di Neviglie nella provincia di Cuneo,Neviglie – MappaPosizione di Neviglie nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
