Arona comune,Arona comune.1
Città di Arona,Città di Arona
,
Arona – VedutaPanorama,Arona – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Alberto Gusmeroli (Lista civica Gusmeroli sindaco) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°45′25″N 8°33′36″E
Altitudine,212 m s.l.m.
Superficie,"15,17 km²"
Abitanti,13 651[2] (30-11-2025)
Densità,"899,87 ab./km²"
Frazioni,"Dagnente, Mercurago, Montrigiasco[3]"
Comuni confinanti,"Angera (VA), Comignago, Dormelletto, Invorio, Meina, Oleggio Castello, Paruzzaro"
Altre informazioni,Altre informazioni
Cod. postale,28041
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003008
Cod. catastale,A429
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Cl. climatica,"zona E, 2 580 GG[5]"
Nome abitanti,aronesi
Patrono,"santi Graziano, Felino, Carpoforo e Fedele martiri"
Giorno festivo,13 marzo
Cartografia,Cartografia
Arona,Arona
Arona – MappaPosizione di Arona nel territorio della provincia di Novara,Arona – MappaPosizione di Arona nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
