Gozzano comune,Gozzano comune.1
,
Gozzano – VedutaPanorama,Gozzano – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Carla Biscuola (lista civica di centro-destra La nostra Gozzano) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°45′N 8°26′E
Altitudine,367 m s.l.m.
Superficie,"12,58 km²"
Abitanti,5 476[2] (30-11-2025)
Densità,"435,29 ab./km²"
Frazioni,"Auzate, Buccione, Bugnate, Monterosso."
Comuni confinanti,"Bolzano Novarese, Borgomanero, Briga Novarese, Gargallo, Invorio, Orta San Giulio, Pogno, San Maurizio d'Opaglio, Soriso"
Altre informazioni,Altre informazioni
Cod. postale,28024
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003076
Cod. catastale,E120
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 782 GG[4]"
Nome abitanti,gozzanesi
Patrono,san Giuliano diacono
Giorno festivo,7 gennaio
Cartografia,Cartografia
Gozzano,Gozzano
Gozzano – MappaPosizione di Gozzano nel territorio della provincia di Novara,Gozzano – MappaPosizione di Gozzano nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
