Casanova Elvo comune,Casanova Elvo comune.1
,
Casanova Elvo – VedutaVeduta,Casanova Elvo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Decaroli Celestino (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°24′N 8°18′E
Altitudine,152 m s.l.m.
Superficie,"16,21 km²"
Abitanti,218[1] (30-11-2025)
Densità,"13,45 ab./km²"
Comuni confinanti,"Collobiano, Formigliana, Olcenengo, San Germano Vercellese, Santhià, Villarboit"
Altre informazioni,Altre informazioni
Cod. postale,13030
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002033
Cod. catastale,B928
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 780 GG[3]"
Nome abitanti,Casanoelvesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Casanova Elvo,Casanova Elvo
Casanova Elvo – MappaPosizione del comune di Casanova Elvo nella provincia di Vercelli,Casanova Elvo – MappaPosizione del comune di Casanova Elvo nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
