Gattinara comune,Gattinara comune.1
,
Gattinara – VedutaPanorama di Gattinara,Gattinara – VedutaPanorama di Gattinara
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Maria Vittoria Casazza (lista civica Uniti si vince) dal 4-10-2021
Territorio,Territorio
Coordinate,45°37′N 8°22′E
Altitudine,263 m s.l.m.
Superficie,"33,67 km²"
Abitanti,7 541[1] (30-11-2025)
Densità,"223,97 ab./km²"
Comuni confinanti,"Lenta, Lozzolo, Roasio, Rovasenda, Serravalle Sesia, Romagnano Sesia (NO), Ghemme (NO)"
Altre informazioni,Altre informazioni
Cod. postale,13045
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002061
Cod. catastale,D938
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 502 GG[3]"
Nome abitanti,gattinaresi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Gattinara,Gattinara
Gattinara – MappaPosizione del comune di Gattinara all'interno della provincia di Vercelli,Gattinara – MappaPosizione del comune di Gattinara all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
