Pila comune,Pila comune.1
,
Pila – VedutaPila vista dalle pendici orientali del Testone delle Tre Alpi,Pila – VedutaPila vista dalle pendici orientali del Testone delle Tre Alpi
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Massimo Gatti (lista civica Insieme per Pila) dal 15-5-2023
Territorio,Territorio
Coordinate,45°46′12.54″N 8°04′51.49″E
Altitudine,675 m s.l.m.
Superficie,"8,69 km²"
Abitanti,137[1] (30-11-2025)
Densità,"15,77 ab./km²"
Frazioni,"Failungo Inferiore, Micciolo"
Comuni confinanti,"Pettinengo (BI), Piode, Scopello"
Altre informazioni,Altre informazioni
Cod. postale,13020
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002096
Cod. catastale,G666
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 196 GG[3]"
Nome abitanti,pilesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Pila,Pila
Pila – MappaPosizione del comune di Pila all'interno della provincia di Vercelli,Pila – MappaPosizione del comune di Pila all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
