Sali Vercellese comune,Sali Vercellese comune.1
Sali Vercellese – VedutaVeduta delle campagne attorno a Sali Vercellese,Sali Vercellese – VedutaVeduta delle campagne attorno a Sali Vercellese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Giacomo Mezza (lista civica) dal 14-6-2024
Territorio,Territorio
Coordinate,45°18′24.5″N 8°18′52.74″E
Altitudine,139 m s.l.m.
Superficie,"8,78 km²"
Abitanti,90[1] (30-11-2025)
Densità,"10,25 ab./km²"
Comuni confinanti,"Lignana, Salasco, Vercelli"
Altre informazioni,Altre informazioni
Cod. postale,13040
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002127
Cod. catastale,H707
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 763 GG[3]"
Nome abitanti,salesi
Patrono,san Desiderio
Giorno festivo,23 maggio
Cartografia,Cartografia
Sali Vercellese,Sali Vercellese
Sali Vercellese – MappaPosizione del comune di Sali Vercellese all'interno della provincia di Vercelli,Sali Vercellese – MappaPosizione del comune di Sali Vercellese all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
