Alberobello comune,Alberobello comune.1
,
Alberobello – VedutaPanorama di Alberobello,Alberobello – VedutaPanorama di Alberobello
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Francesco De Carlo (lista civica) dal 13-6-2022
Data di istituzione,27-5-1797
Territorio,Territorio
Coordinate,40°47′02.62″N 17°14′14.86″E
Altitudine,428[1] m s.l.m.
Superficie,"40,82 km²"
Abitanti,10 024[2] (30-11-2025)
Densità,"245,57 ab./km²"
Frazioni,Coreggia[3]
Comuni confinanti,"Castellana Grotte, Fasano (BR), Locorotondo, Martina Franca (TA), Monopoli, Mottola (TA), Noci"
Altre informazioni,Altre informazioni
Cod. postale,70011
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072003
Cod. catastale,A149
Targa,BA
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Cl. climatica,"zona D, 1 644 GG[5]"
Nome abitanti,alberobellesi
Patrono,santi Cosma e Damiano
Giorno festivo,27 settembre
Cartografia,Cartografia
Alberobello,Alberobello
Alberobello – MappaPosizione del comune di Alberobello all'interno della città metropolitana di Bari,Alberobello – MappaPosizione del comune di Alberobello all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
