Cellamare comune,Cellamare comune.1
,
Cellamare – VedutaCastello Caracciolo,Cellamare – VedutaCastello Caracciolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Gianluca Vurchio (lista civica Insieme per Cellamare) dal 27-5-2019 (2º mandato dal 8-6-2024)
Territorio,Territorio
Coordinate,41°01′13″N 16°55′45″E
Altitudine,110 m s.l.m.
Superficie,"5,91 km²"
Abitanti,5 766[1] (30-11-2025)
Densità,"975,63 ab./km²"
Sottodivisioni ulteriori,Contrada Cocevole
Comuni confinanti,"Capurso, Casamassima, Noicattaro, Adelfia"
Altre informazioni,Altre informazioni
Cod. postale,70010
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072018
Cod. catastale,C436
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 339 GG[3]"
Nome abitanti,Cellamaresi
Patrono,sant'Amatore
Giorno festivo,30 aprile
Cartografia,Cartografia
Cellamare,Cellamare
Cellamare – MappaPosizione del comune di Cellamare all'interno della città metropolitana di Bari,Cellamare – MappaPosizione del comune di Cellamare all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
