Polignano a Mare comune,Polignano a Mare comune.1
,
Polignano a Mare – VedutaLa spiaggia di Lama Monachile,Polignano a Mare – VedutaLa spiaggia di Lama Monachile
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Vito Carrieri (centro-sinistra) dal 27-6-2022
Data di istituzione,19-1-1863
Territorio,Territorio
Coordinate,40°59′46″N 17°13′13″E
Altitudine,24 m s.l.m.
Superficie,"63,09 km²"
Abitanti,17 273[1] (30-11-2025)
Densità,"273,78 ab./km²"
Frazioni,"San Vito, Casello Cavuzzi, Chiesa Nuova, San Giovanni e parte di Triggianello"
Comuni confinanti,"Castellana Grotte, Conversano, Mola di Bari, Monopoli"
Altre informazioni,Altre informazioni
Cod. postale,70044
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072035
Cod. catastale,G787
Targa,BA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 088 GG[3]"
Nome abitanti,polignanesi
Patrono,san Vito Martire
Giorno festivo,15 giugno
Cartografia,Cartografia
Polignano a Mare,Polignano a Mare
Polignano a Mare – MappaPosizione del comune di Polignano a Mare all'interno della città metropolitana di Bari,Polignano a Mare – MappaPosizione del comune di Polignano a Mare all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
