Toritto comune,Toritto comune.1
,
Toritto – VedutaMonumento ai caduti in guerra in Piazza Aldo Moro,Toritto – VedutaMonumento ai caduti in guerra in Piazza Aldo Moro
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Dionisio Rotunno (lista civica ViviAmo Toritto) dal 15-5-2023
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,41°00′N 16°41′E
Altitudine,240 m s.l.m.
Superficie,"75,35 km²"
Abitanti,7 958[1] (30-11-2025)
Densità,"105,61 ab./km²"
Frazioni,Quasano
Comuni confinanti,"Altamura, Binetto, Bitonto, Grumo Appula, Palo del Colle"
Altre informazioni,Altre informazioni
Cod. postale,70020
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072044
Cod. catastale,L220
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 516 GG[3]"
Nome abitanti,torittesi
Patrono,"san Rocco, Madonna delle Grazie"
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Toritto,Toritto
Toritto – MappaPosizione del comune di Toritto all'interno della città metropolitana di Bari,Toritto – MappaPosizione del comune di Toritto all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
