Zapponeta comune,Zapponeta comune.1
,
Zapponeta – VedutaTorre di Rivoli,Zapponeta – VedutaTorre di Rivoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Vincenzo Riontino (lista civica Zapponeta nel cuore) dal 4-10-2021
Territorio,Territorio
Coordinate,41°27′N 15°58′E
Altitudine,2 m s.l.m.
Superficie,"41,75 km²"
Abitanti,3 194[1] (30-11-2025)
Densità,"76,5 ab./km²"
Frazioni,Foggiamare
Comuni confinanti,"Cerignola, Manfredonia, Margherita di Savoia (BT), Trinitapoli (BT)"
Altre informazioni,Altre informazioni
Cod. postale,71030
Prefisso,0884
Fuso orario,UTC+1
Codice ISTAT,071064
Cod. catastale,M267
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 291 GG[3]"
Nome abitanti,zapponetani
Patrono,Madonna della Misericordia
Giorno festivo,12 settembre
PIL procapite,(nominale) 11 766 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Zapponeta,Zapponeta
Zapponeta – MappaPosizione del comune di Zapponeta nella provincia di Foggia,Zapponeta – MappaPosizione del comune di Zapponeta nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
