Lizzanello comune,Lizzanello comune.1
,
Lizzanello – Veduta,Lizzanello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Costantino Giovannico (lista civica) dal 04-10-2021
Territorio,Territorio
Coordinate,40°18′17.1″N 18°13′22.19″E
Altitudine,45 m s.l.m.
Superficie,"25,42 km²"
Abitanti,12 008[1] (30-11-2025)
Densità,"472,38 ab./km²"
Frazioni,Merine
Comuni confinanti,"Caprarica di Lecce, Castri di Lecce, Cavallino, Lecce, Vernole"
Altre informazioni,Altre informazioni
Cod. postale,73023
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075038
Cod. catastale,E629
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 110 GG[3]"
Nome abitanti,lizzanellesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Lizzanello,Lizzanello
Lizzanello – MappaPosizione del comune di Lizzanello nella provincia di Lecce,Lizzanello – MappaPosizione del comune di Lizzanello nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
