Ortelle comune,Ortelle comune.1
,
Ortelle – Veduta,Ortelle – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Edoardo De Luca (lista civica Insieme per lo sviluppo) dal 14-06-2022
Territorio,Territorio
Coordinate,40°02′04″N 18°23′35″E
Altitudine,99 m s.l.m.
Superficie,"10,23 km²"
Abitanti,2 191[1] (30-11-2025)
Densità,"214,17 ab./km²"
Frazioni,Vignacastrisi
Comuni confinanti,"Castro, Diso, Poggiardo, Santa Cesarea Terme, Spongano"
Altre informazioni,Altre informazioni
Cod. postale,73030
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075056
Cod. catastale,G136
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 282 GG[3]"
Nome abitanti,ortellesi
Patrono,San Giorgio e San Fortunato di Lecce
Giorno festivo,17-19 agosto
Cartografia,Cartografia
Ortelle,Ortelle
Ortelle – MappaPosizione del comune di Ortelle all'interno della provincia di Lecce,Ortelle – MappaPosizione del comune di Ortelle all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
