Scorrano comune,Scorrano comune.1
,
Scorrano – Veduta,Scorrano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Mario Pendinelli (Per Scorrano) dal 12-6-2022
Territorio,Territorio
Coordinate,40°05′24.65″N 18°17′59.75″E
Altitudine,95 m s.l.m.
Superficie,"35,33 km²"
Abitanti,6 547[1] (30-11-2025)
Densità,"185,31 ab./km²"
Frazioni,Monteroni di Scorrano
Comuni confinanti,"Botrugno, Cutrofiano, Maglie, Muro Leccese, Sanarica, Supersano"
Altre informazioni,Altre informazioni
Cod. postale,73020
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075073
Cod. catastale,I549
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 230 GG[3]"
Nome abitanti,scorranesi
Patrono,Santa Domenica
Giorno festivo,6 luglio
Cartografia,Cartografia
Scorrano,Scorrano
Scorrano – MappaPosizione del comune di Scorrano all'interno della provincia di Lecce,Scorrano – MappaPosizione del comune di Scorrano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
