Roccaforzata comune,Roccaforzata comune.1
,
Roccaforzata – VedutaRoccaforzata,Roccaforzata – VedutaRoccaforzata
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Michelangelo Serio (lista civica Insieme per Roccaforzata) dal 15-5-2023
Territorio,Territorio
Coordinate,40°26′N 17°24′E
Altitudine,145 m s.l.m.
Superficie,"6,15 km²"
Abitanti,1 729[1] (30-11-2025)
Densità,"281,14 ab./km²"
Frazioni,"Chianche, Paretone"
Comuni confinanti,"Faggiano, Monteparano, San Giorgio Ionico, Taranto"
Altre informazioni,Altre informazioni
Cod. postale,74020
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073023
Cod. catastale,H409
Targa,TA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 303 GG[3]"
Nome abitanti,rocchesi
Patrono,"Madonna della Camera, S.Elia"
Giorno festivo,"giovedì dopo Pasqua, 20 luglio"
Cartografia,Cartografia
Roccaforzata,Roccaforzata
Roccaforzata – MappaPosizione del comune di Roccaforzata all'interno della provincia di Taranto,Roccaforzata – MappaPosizione del comune di Roccaforzata all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
