Orroli comune,Orroli comune.1
(IT) Orroli (SC) Arròlli,(IT) Orroli (SC) Arròlli
,
Orroli – VedutaChiesa di San Vincenzo,Orroli – VedutaChiesa di San Vincenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Alessandro Boi (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°41′32.14″N 9°15′01.14″E
Altitudine,550 m s.l.m.
Superficie,"75,59 km²"
Abitanti,1 911[1] (30-11-2025)
Densità,"25,28 ab./km²"
Comuni confinanti,"Escalaplano, Esterzili, Goni, Nurri, Siurgus Donigala"
Altre informazioni,Altre informazioni
Cod. postale,09061
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,111050
Cod. catastale,G122
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) orrolesi (SC) arrolesus
Patrono,san Vincenzo Martire
Giorno festivo,22 gennaio
Cartografia,Cartografia
Orroli,Orroli
Orroli – MappaPosizione del comune di Orroli nella città metropolitana di Cagliari,Orroli – MappaPosizione del comune di Orroli nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
