Sestu comune,Sestu comune.1
(IT) Sestu (SC) Sèstu,(IT) Sestu (SC) Sèstu
,
Sestu – Veduta,Sestu – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,"Maria Paola Secci (Riformatori Sardi, Forza Italia) dal 31-5-2015 (2º mandato dal 26-10-2020)"
Territorio,Territorio
Coordinate,39°17′57.97″N 9°05′30.59″E
Altitudine,44 m s.l.m.
Superficie,"48,29 km²"
Abitanti,20 646[1] (30-11-2025)
Densità,"427,54 ab./km²"
Frazioni,"Cortexandra, San Gemiliano, Moriscau, More Corraxe, Sa Cantonera, Magangiosa, Scala Sa Perda, Sant'Esu, Is Coras, Is Crus, Su Pardu, Marginarbu, Nuracava"
Comuni confinanti,"Elmas, Assemini, Cagliari, Monserrato, Monastir, San Sperate, Ussana, Selargius, Serdiana, Settimo San Pietro"
Altre informazioni,Altre informazioni
Cod. postale,09028
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,092074
Cod. catastale,I695
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) sestesi (SC) sestesus
Patrono,san Giorgio martire[3]
Giorno festivo,23 aprile
Cartografia,Cartografia
Sestu,Sestu
Sestu – MappaPosizione del comune di Sestu nella città metropolitana di CagliariSestu,Sestu – MappaPosizione del comune di Sestu nella città metropolitana di CagliariSestu
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
