Banari comune,Banari comune.1
(IT) Banari (SC) Bànari,(IT) Banari (SC) Bànari
,
Banari – Veduta,Banari – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Francesco Basciu (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,40°34′15.49″N 8°41′56.49″E
Altitudine,419 m s.l.m.
Superficie,"21,25 km²"
Abitanti,508[1] (30-11-2025)
Densità,"23,91 ab./km²"
Comuni confinanti,"Bessude, Florinas, Ittiri, Siligo"
Altre informazioni,Altre informazioni
Cod. postale,07040
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112004
Cod. catastale,A606
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) banaresi (SC) banaresos
Patrono,san Lorenzo Martire
Giorno festivo,10 agosto
Cartografia,Cartografia
Banari,Banari
Banari – MappaPosizione del comune di Banari nella città metropolitana di Sassari,Banari – MappaPosizione del comune di Banari nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
