Esporlatu comune,Esporlatu comune.1
(IT) Esporlatu (SC) Isporlàtu,(IT) Esporlatu (SC) Isporlàtu
,
Esporlatu – Veduta,Esporlatu – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Antonio Fadda (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,40°23′08″N 8°59′24″E
Altitudine,474 m s.l.m.
Superficie,"18,4 km²"
Abitanti,359[1] (30-11-2025)
Densità,"19,51 ab./km²"
Comuni confinanti,"Bottidda, Burgos, Illorai"
Altre informazioni,Altre informazioni
Cod. postale,07010
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112022
Cod. catastale,D441
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) esporlatesi (SC) isporlatesos
Cartografia,Cartografia
Esporlatu,Esporlatu
Esporlatu – MappaPosizione del comune di Esporlatu nella città metropolitana di Sassari,Esporlatu – MappaPosizione del comune di Esporlatu nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
