Nughedu San Nicolò comune,Nughedu San Nicolò comune.1
(IT) Nughedu San Nicolò (SC) Nughèdu,(IT) Nughedu San Nicolò (SC) Nughèdu
,
Nughedu San Nicolò – Veduta,Nughedu San Nicolò – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Michele Carboni (lista civica) dal 5-6-2016 (2º mandato dall'11-10-2021)
Territorio,Territorio
Coordinate,40°33′22.2″N 9°01′16.75″E
Altitudine,577 m s.l.m.
Superficie,"67,89 km²"
Abitanti,709[1] (30-11-2025)
Densità,"10,44 ab./km²"
Comuni confinanti,"Anela, Bono, Bonorva, Bultei, Ittireddu, Ozieri, Pattada"
Altre informazioni,Altre informazioni
Cod. postale,07010
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112034
Cod. catastale,F975
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 2 012 GG[3]"
Nome abitanti,(IT) nughedesi (SC) nughedesos
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Nughedu San Nicolò,Nughedu San Nicolò
Nughedu San Nicolò – MappaPosizione del comune di Nughedu San Nicolò nella città metropolitana di Sassari,Nughedu San Nicolò – MappaPosizione del comune di Nughedu San Nicolò nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
