Villanova Monteleone comune,Villanova Monteleone comune.1
(IT) Villanova Monteleone (SC) Biddanòa Monteleòne,(IT) Villanova Monteleone (SC) Biddanòa Monteleòne
,
Villanova Monteleone – Veduta,Villanova Monteleone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Quirico Meloni (lista civica Idea Villanova) dal 9-06-2024
Territorio,Territorio
Coordinate,40°30′13″N 8°28′14″E
Altitudine,567 m s.l.m.
Superficie,"202,68 km²"
Abitanti,2 047[1] (30-11-2025)
Densità,"10,1 ab./km²"
Comuni confinanti,"Alghero, Bosa (OR), Ittiri, Monteleone Rocca Doria, Montresta (OR), Padria, Putifigari, Romana, Thiesi"
Altre informazioni,Altre informazioni
Cod. postale,07019
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112066
Cod. catastale,L989
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) villanovesi (SC) biddanoesos
Patrono,san Leonardo
Cartografia,Cartografia
Villanova Monteleone,Villanova Monteleone
Villanova Monteleone – MappaPosizione del comune di Villanova Monteleone nella città metropolitana di Sassari,Villanova Monteleone – MappaPosizione del comune di Villanova Monteleone nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
