Sardara comune,Sardara comune.1
(IT) Sardara (SC) Sàrdara,(IT) Sardara (SC) Sàrdara
,
Sardara – Veduta,Sardara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Medio Campidano
Amministrazione,Amministrazione
Sindaco,Giorgio Zucca (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°36′50″N 8°49′17.43″E
Altitudine,163 m s.l.m.
Superficie,"56,23 km²"
Abitanti,3 711[1] (30-11-2025)
Densità,66 ab./km²
Comuni confinanti,"Collinas, Mogoro (OR), Pabillonis, San Gavino Monreale, Sanluri, Villanovaforru"
Altre informazioni,Altre informazioni
Cod. postale,09030
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,117016
Cod. catastale,I428
Targa,VS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 174 GG[3]"
Nome abitanti,(IT) sardaresi (SC) sardaresus
Patrono,Maria SS. Assunta e Santa Maria de is Aquas (compatrono)
Giorno festivo,Penultimo lunedì di settembre
Cartografia,Cartografia
Sardara,Sardara
Sardara – MappaPosizione del comune di Sardara nella provincia del Medio Campidano,Sardara – MappaPosizione del comune di Sardara nella provincia del Medio Campidano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
