Villamar comune,Villamar comune.1
(IT) Villamar (SC) Mara Arbarèi,(IT) Villamar (SC) Mara Arbarèi
,
Villamar – Veduta,Villamar – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Medio Campidano
Amministrazione,Amministrazione
Sindaco,Gian Luca Atzeni (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°37′11.89″N 8°57′36.13″E
Altitudine,108 m s.l.m.
Superficie,"38,53 km²"
Abitanti,2 395[1] (30-11-2025)
Densità,"62,16 ab./km²"
Comuni confinanti,"Furtei, Guasila (CA), Las Plassas, Lunamatrona, Pauli Arbarei, Sanluri, Segariu, Villanovafranca"
Altre informazioni,Altre informazioni
Cod. postale,09020
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,117026
Cod. catastale,L966
Targa,VS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) villamaresi (SC) maresus
Patrono,san Giovanni Battista
Cartografia,Cartografia
Villamar,Villamar
Villamar – MappaPosizione del comune di Villamar nella provincia del Medio Campidano,Villamar – MappaPosizione del comune di Villamar nella provincia del Medio Campidano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
