Talana comune,Talana comune.1
(IT) Talana (SC) Talàna,(IT) Talana (SC) Talàna
,
Talana – Veduta,Talana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Ogliastra
Amministrazione,Amministrazione
Sindaco,Christian Paolo Loddo (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,40°02′32.88″N 9°29′48.56″E
Altitudine,682 m s.l.m.
Superficie,"118,68 km²"
Abitanti,915[1] (30-11-2025)
Densità,"7,71 ab./km²"
Comuni confinanti,"Baunei (NU), Lotzorai, Orgosolo (NU), Triei, Urzulei, Villagrande Strisaili"
Altre informazioni,Altre informazioni
Cod. postale,08040
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,091088
Cod. catastale,L036
Targa,OG
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) talanesi (SC) talanesos
Patrono,santa Marta
Giorno festivo,29 luglio
Cartografia,Cartografia
Talana,Talana
Talana – MappaPosizione del comune di Talana nella provincia dell'Ogliastra,Talana – MappaPosizione del comune di Talana nella provincia dell'Ogliastra
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
