Ulassai comune,Ulassai comune.1
(IT) Ulassai (SC) Ulàssa,(IT) Ulassai (SC) Ulàssa
,
Ulassai – VedutaUlassai,Ulassai – VedutaUlassai
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Ogliastra
Amministrazione,Amministrazione
Sindaco,Giovanni Soru (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°48′42.12″N 9°29′56.28″E
Altitudine,775 m s.l.m.
Superficie,"122,41 km²"
Abitanti,1 364[1] (30-11-2025)
Densità,"11,14 ab./km²"
Comuni confinanti,"Esterzili (CA), Gairo, Jerzu, Osini, Perdasdefogu, Seui, Tertenia, Ussassai, Villagrande Strisaili, Villaputzu (CA)"
Altre informazioni,Altre informazioni
Cod. postale,08040
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,091098
Cod. catastale,L489
Targa,OG
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 2 068 GG[3]"
Nome abitanti,(IT) ulassesi (SC) ulassesus
Patrono,sant'Antioco
Giorno festivo,15 giorni dopo Pasqua
Cartografia,Cartografia
Ulassai,Ulassai
Ulassai – MappaPosizione del comune di Ulassai nella provincia dell'Ogliastra,Ulassai – MappaPosizione del comune di Ulassai nella provincia dell'Ogliastra
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
