Aglientu comune,Aglientu comune.1
(IT) Aglientu (SDN) Santu Francìscu di l'Aglièntu,(IT) Aglientu (SDN) Santu Francìscu di l'Aglièntu
,
Aglientu – Veduta,Aglientu – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Gallura Nord-Est Sardegna
Amministrazione,Amministrazione
Sindaco,Marco Demuro (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,41°04′43.8″N 9°06′46.6″E
Altitudine,420 m s.l.m.
Superficie,"148,19 km²"
Abitanti,1 197[1] (30-11-2025)
Densità,"8,08 ab./km²"
Frazioni,"Baia Vignola, Campesi, Portobello, Rena Majore, Vignola Mare"
Comuni confinanti,"Aggius, Luogosanto, Santa Teresa Gallura, Tempio Pausania, Trinità d'Agultu e Vignola"
Altre informazioni,Altre informazioni
Cod. postale,07020
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,113002
Cod. catastale,H848
Targa,OT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 912 GG[3]"
Nome abitanti,(IT) aglientesi (SDN) aglintesi
Patrono,san Francesco
Giorno festivo,4 ottobre
Cartografia,Cartografia
Aglientu,Aglientu
Aglientu – MappaPosizione del comune di Aglientu nella provincia della Gallura Nord-Est Sardegna,Aglientu – MappaPosizione del comune di Aglientu nella provincia della Gallura Nord-Est Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
