Ortueri comune,Ortueri comune.1
"(IT, SC) Ortueri","(IT, SC) Ortueri"
,
Ortueri – Veduta,Ortueri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Nuoro
Amministrazione,Amministrazione
Sindaco,Francesco Carta (lista civica) dal 17-6-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°02′07.33″N 8°59′10.07″E
Altitudine,584 m s.l.m.
Superficie,"38,83 km²"
Abitanti,965[1] (30-11-2025)
Densità,"24,85 ab./km²"
Comuni confinanti,"Austis, Busachi (OR), Neoneli (OR), Samugheo (OR), Sorgono, Ula Tirso (OR)"
Altre informazioni,Altre informazioni
Cod. postale,08036
Prefisso,0784
Fuso orario,UTC+1
Codice ISTAT,091066
Cod. catastale,G146
Targa,NU
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) ortueresi (SC) ortueresos
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Ortueri,Ortueri
Ortueri – MappaPosizione del comune di Ortueri all'interno della provincia di Nuoro,Ortueri – MappaPosizione del comune di Ortueri all'interno della provincia di Nuoro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
