Silanus comune,Silanus comune.1
(IT) Silanus (SC) Silànos,(IT) Silanus (SC) Silànos
,
Silanus – Veduta,Silanus – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Nuoro
Amministrazione,Amministrazione
Sindaco,Gian Pietro Arca (lista civica) dal 6-11-2025 (2º mandato dall'11-10-2021)
Territorio,Territorio
Coordinate,40°17′16″N 8°53′25″E
Altitudine,432 m s.l.m.
Superficie,"47,94 km²"
Abitanti,1 895[1] (30-11-2025)
Densità,"39,53 ab./km²"
Comuni confinanti,"Bolotana, Bortigali, Dualchi, Lei, Noragugume"
Altre informazioni,Altre informazioni
Cod. postale,08017
Prefisso,0785
Fuso orario,UTC+1
Codice ISTAT,091083
Cod. catastale,I730
Targa,NU
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) silanesi (SC) silanesos
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Silanus,Silanus
Silanus – MappaPosizione del comune di Silanus all'interno della provincia di Nuoro,Silanus – MappaPosizione del comune di Silanus all'interno della provincia di Nuoro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
