Simala comune,Simala comune.1
(IT) Simala (SC) Simàba,(IT) Simala (SC) Simàba
,
Simala – Veduta,Simala – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Gianmarco Atzei (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,39°43′15.07″N 8°49′41.22″E
Altitudine,155 m s.l.m.
Superficie,"13,38 km²"
Abitanti,281[1] (30-11-2025)
Densità,21 ab./km²
Comuni confinanti,"Baressa, Curcuris, Gonnoscodina, Gonnosnò, Masullas, Pompu"
Altre informazioni,Altre informazioni
Cod. postale,09090
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095058
Cod. catastale,I742
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) simalesi (SC) simabesus
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Simala,Simala
Simala – MappaPosizione del comune di Simala all'interno della provincia di Oristano,Simala – MappaPosizione del comune di Simala all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
