Villanova Truschedu comune,Villanova Truschedu comune.1
(IT) Villanova Truschedu (SC) Biddanòa Truschèdu,(IT) Villanova Truschedu (SC) Biddanòa Truschèdu
,
Villanova Truschedu – VedutaIl paese visto dal nuraghe Santa Barbara,Villanova Truschedu – VedutaIl paese visto dal nuraghe Santa Barbara
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Claudio Palmas (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,39°59′18.36″N 8°45′07.3″E
Altitudine,56 m s.l.m.
Superficie,"16,61 km²"
Abitanti,283[1] (30-11-2025)
Densità,"17,04 ab./km²"
Comuni confinanti,"Fordongianus, Ollastra, Paulilatino, Zerfaliu"
Altre informazioni,Altre informazioni
Cod. postale,09084
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095071
Cod. catastale,L991
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) villanovesi (SC) biddanoesus
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Villanova Truschedu,Villanova Truschedu
Villanova Truschedu – MappaPosizione del comune di Villanova Truschedu all'interno della provincia di Oristano,Villanova Truschedu – MappaPosizione del comune di Villanova Truschedu all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
