Maniace comune,Maniace comune.1
,
Maniace – Veduta,Maniace – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Franco Parasiliti Parracello (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,37°52′N 14°48′E
Altitudine,787 m s.l.m.
Superficie,"37,7 km²"
Abitanti,3 733[1] (30-11-2025)
Densità,"99,02 ab./km²"
Comuni confinanti,"Bronte, Cesarò (ME), Longi (ME)"
Altre informazioni,Altre informazioni
Cod. postale,95050
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087057
Cod. catastale,M283
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 972 GG[3]"
Nome abitanti,maniacesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Maniace,Maniace
Maniace – MappaPosizione del comune di Maniace nella città metropolitana di Catania,Maniace – MappaPosizione del comune di Maniace nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
