Mazzarrone comune,Mazzarrone comune.1
,
"Mazzarrone – VedutaPanorama, 2008","Mazzarrone – VedutaPanorama, 2008"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Giovanni Spata (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Data di istituzione,7 maggio 1976
Territorio,Territorio
Coordinate,37°05′N 14°34′E
Altitudine,285 m s.l.m.
Superficie,"34,78 km²"
Abitanti,4 001[1] (30-11-2025)
Densità,"115,04 ab./km²"
Frazioni,"Leva, Grassura"
Comuni confinanti,"Acate (RG), Caltagirone, Chiaramonte Gulfi (RG), Licodia Eubea"
Altre informazioni,Altre informazioni
Cod. postale,95040
Prefisso,0933
Fuso orario,UTC+1
Codice ISTAT,087056
Cod. catastale,M271
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 182 GG[3]"
Nome abitanti,(IT) mazzarronesi (SCN) mazzarrunari
Patrono,san Giuseppe
Giorno festivo,19 marzo
PIL procapite,"(nominale) 10,000 € (2025)[4]"
Soprannome,Città dell'uva
Cartografia,Cartografia
Mazzarrone,Mazzarrone
Mazzarrone – MappaPosizione del comune di Mazzarrone nella città metropolitana di Catania,Mazzarrone – MappaPosizione del comune di Mazzarrone nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
