Riposto comune,Riposto comune.1
,
Riposto – Veduta,Riposto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Davide Maria Vasta (ScN) dal 29-5-2023
Territorio,Territorio
Coordinate,37°43′54.59″N 15°12′20.74″E
Altitudine,7 m s.l.m.
Superficie,"13,25 km²"
Abitanti,13 899[1] (30-11-2025)
Densità,"1 048,98 ab./km²"
Frazioni,"Altarello, Archi, Carruba, Quartirello, Torre Archirafi"
Comuni confinanti,"Acireale, Giarre, Mascali"
Altre informazioni,Altre informazioni
Cod. postale,95018
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087039
Cod. catastale,H325
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 857 GG[3]"
Nome abitanti,ripostesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Riposto,Riposto
Riposto – MappaPosizione del comune di Riposto nella città metropolitana di Catania,Riposto – MappaPosizione del comune di Riposto nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
