Francavilla di Sicilia comune,Francavilla di Sicilia comune.1
,
Francavilla di Sicilia – Veduta,Francavilla di Sicilia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Vincenzo Pulizzi (lista civica La svolta per Francavilla) dal 13-6-2017
Territorio,Territorio
Coordinate,37°54′05.29″N 15°08′09.31″E
Altitudine,330 m s.l.m.
Superficie,"82,73[1] km²"
Abitanti,3 487[2] (30-11-2025)
Densità,"42,15 ab./km²"
Frazioni,Villaggi Schisina
Comuni confinanti,"Antillo, Castiglione di Sicilia (CT), Fondachelli-Fantina, Malvagna, Montalbano Elicona, Motta Camastra, Novara di Sicilia, Tripi-Abakainon"
Altre informazioni,Altre informazioni
Cod. postale,98034
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083025
Cod. catastale,D765
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 191 GG[4]"
Nome abitanti,francavillesi
Patrono,santa Barbara e sant'Euplio di Catania
Giorno festivo,4 dicembre e ultima domenica d'agosto
Cartografia,Cartografia
Francavilla di Sicilia,Francavilla di Sicilia
Francavilla di Sicilia – MappaPosizione del comune di Francavilla di Sicilia all'interno della città metropolitana di Messina,Francavilla di Sicilia – MappaPosizione del comune di Francavilla di Sicilia all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
