Pace del Mela comune,Pace del Mela comune.1
,
Pace del Mela – Veduta,Pace del Mela – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Mario La Malfa (lista civica Per Pace del Mela) dal 10-6-2018
Territorio,Territorio
Coordinate,38°10′46.63″N 15°18′19.22″E
Altitudine,114 m s.l.m.
Superficie,"12,18[1] km²"
Abitanti,5 938[2] (30-11-2025)
Densità,"487,52 ab./km²"
Frazioni,Giammoro
Comuni confinanti,"Condrò, Gualtieri Sicaminò, San Filippo del Mela, San Pier Niceto, Santa Lucia del Mela"
Altre informazioni,Altre informazioni
Cod. postale,98042
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083064
Cod. catastale,G209
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 821 GG[4]"
Nome abitanti,pacesi
Patrono,Madonna della Visitazione
Giorno festivo,2 luglio
Cartografia,Cartografia
Pace del Mela,Pace del Mela
Pace del Mela – MappaPosizione del comune di Pace del Mela all'interno della città metropolitana di Messina,Pace del Mela – MappaPosizione del comune di Pace del Mela all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
