Reitano comune,Reitano comune.1
,
Reitano – Veduta,Reitano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Salvatore Salvaggio (lista civica Uniti per Reitano e Villa Margi) dal 13-6-2022
Territorio,Territorio
Coordinate,37°58′22.26″N 14°20′39.37″E
Altitudine,396 m s.l.m.
Superficie,"14,12[1] km²"
Abitanti,705[2] (30-11-2025)
Densità,"49,93 ab./km²"
Frazioni,Villa Margi
Comuni confinanti,"Mistretta, Motta d'Affermo, Santo Stefano di Camastra"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,083070
Cod. catastale,H228
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 304 GG[4]"
Nome abitanti,reitanesi
Patrono,sant'Erasmo
Giorno festivo,2 giugno
Cartografia,Cartografia
Reitano,Reitano
Reitano – MappaPosizione del comune di Reitano all'interno della città metropolitana di Messina,Reitano – MappaPosizione del comune di Reitano all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
