Roccella Valdemone comune,Roccella Valdemone comune.1
,
Roccella Valdemone – Veduta,Roccella Valdemone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Gianfranco Orsina (lista civica Rinasce Roccella) dal 13-6-2022
Territorio,Territorio
Coordinate,37°55′58.73″N 15°00′30.42″E
Altitudine,763 (Piazza Duomo - I.G.M. Firenze) m s.l.m.
Superficie,"41,15[1] km²"
Abitanti,533[2] (30-11-2025)
Densità,"12,95 ab./km²"
Comuni confinanti,"Castiglione di Sicilia (CT), Malvagna, Mojo Alcantara, Montalbano Elicona, Randazzo (CT), Santa Domenica Vittoria"
Altre informazioni,Altre informazioni
Cod. postale,98030
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083074
Cod. catastale,H455
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 015 GG[4]"
Nome abitanti,roccellesi
Patrono,"Madonna dell'Udienza, San Nicola di Bari"
Giorno festivo,15 agosto
Cartografia,Cartografia
Roccella Valdemone,Roccella Valdemone
Roccella Valdemone – MappaPosizione del comune di Roccella Valdemone all'interno della città metropolitana di Messina,Roccella Valdemone – MappaPosizione del comune di Roccella Valdemone all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
