Montemaggiore Belsito comune,Montemaggiore Belsito comune.1
,
Montemaggiore Belsito – VedutaPanorama del paese,Montemaggiore Belsito – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Cosimo Gullo (Vivi MONTEMAGGIORE - Cosimo GULLO SINDACO) dal 26-05-2025
Territorio,Territorio
Coordinate,37°51′N 13°46′E
Altitudine,530 m s.l.m.
Superficie,"32,08 km²"
Abitanti,2 752[1] (30-11-2025)
Densità,"85,79 ab./km²"
Comuni confinanti,"Alia, Aliminusa, Caccamo, Sclafani Bagni, Sciara"
Altre informazioni,Altre informazioni
Cod. postale,90020
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082051
Cod. catastale,F553
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 430 GG[3]"
Nome abitanti,montemaggioresi (muntimajurisi in siciliano)
Giorno festivo,14 settembre e 5 Febbraio
Cartografia,Cartografia
Montemaggiore Belsito,Montemaggiore Belsito
Montemaggiore Belsito – MappaPosizione del comune di Montemaggiore Belsito nella città metropolitana di Palermo,Montemaggiore Belsito – MappaPosizione del comune di Montemaggiore Belsito nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
