Prizzi comune,Prizzi comune.1
,
Prizzi – VedutaVeduta di Prizzi,Prizzi – VedutaVeduta di Prizzi
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Luigi Lucio Maria Vallone (lista civica Insieme per Prizzi) dal 27-5-2025
Territorio,Territorio
Coordinate,37°43′17.48″N 13°25′52.19″E
Altitudine,973 m s.l.m.
Superficie,"95,04 km²"
Abitanti,4 011[1] (30-11-2025)
Densità,"42,2 ab./km²"
Frazioni,Filaga
Comuni confinanti,"Campofelice di Fitalia, Castronovo di Sicilia, Corleone, Lercara Friddi, Palazzo Adriano, Vicari"
Altre informazioni,Altre informazioni
Cod. postale,90038
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082060
Cod. catastale,H070
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 304 GG[3]"
Nome abitanti,prizzesi
Patrono,san Giorgio martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Prizzi,Prizzi
Prizzi – MappaPosizione del comune di Prizzi all'interno della città metropolitana di Palermo,Prizzi – MappaPosizione del comune di Prizzi all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
