Sclafani Bagni comune,Sclafani Bagni comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giuseppe Solazzo (lista civica Per Scalfani Bagni) dal 10-6-2018
Territorio,Territorio
Coordinate,37°49′N 13°51′E
Altitudine,810 m s.l.m.
Superficie,"134,9 km²"
Abitanti,347[1] (30-11-2025)
Densità,"2,57 ab./km²"
Comuni confinanti,"Alia, Aliminusa, Caccamo, Caltavuturo, Castronovo di Sicilia, Cerda, Montemaggiore Belsito, Polizzi Generosa, Scillato, Valledolmo, Vallelunga Pratameno (CL)"
Altre informazioni,Altre informazioni
Cod. postale,90020
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082069
Cod. catastale,I541
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 927 GG[3]"
Nome abitanti,sclafanesi
Patrono,SS Ecce Homo
Cartografia,Cartografia
Sclafani Bagni,Sclafani Bagni
Sclafani Bagni – MappaPosizione del comune di Sclafani Bagni all'interno della città metropolitana di Palermo,Sclafani Bagni – MappaPosizione del comune di Sclafani Bagni all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
