Trappeto comune,Trappeto comune.1
,
Trappeto – VedutaUno scorcio di Trappeto dal mare,Trappeto – VedutaUno scorcio di Trappeto dal mare
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Cosentino Santo (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,38°04′N 13°02′E
Altitudine,29 m s.l.m.
Superficie,"4,19 km²"
Abitanti,3 144[1] (30-11-2025)
Densità,"750,36 ab./km²"
Frazioni,"Badiella, Ciammarita, Crocevanella, Piano Inferno, Piano Inferno Marina, Puma, Salvina, San Cataldo"
Comuni confinanti,"Balestrate, Partinico, Terrasini"
Altre informazioni,Altre informazioni
Cod. postale,90040
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082074
Cod. catastale,L332
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 681 GG[3]"
Nome abitanti,trappetesi
Patrono,Maria Santissima Annunziata
Giorno festivo,25 marzo
Cartografia,Cartografia
Trappeto,Trappeto
Trappeto – MappaPosizione del comune di Trappeto all'interno della città metropolitana di Palermo,Trappeto – MappaPosizione del comune di Trappeto all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
