Alessandria della Rocca comune,Alessandria della Rocca comune.1
,
Alessandria della Rocca – Veduta,Alessandria della Rocca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Salvatore Mangione (lista civica Alessandria futura) dal 9-6-2024
Data di istituzione,1570
Territorio,Territorio
Coordinate,37°34′10.56″N 13°27′12.47″E
Altitudine,533 m s.l.m.
Superficie,"62,24[1] km²"
Abitanti,2 301[2] (30-11-2025)
Densità,"36,97 ab./km²"
Comuni confinanti,"Bivona, Cianciana, San Biagio Platani, Sant'Angelo Muxaro, Santo Stefano Quisquina"
Altre informazioni,Altre informazioni
Cod. postale,92010
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084002
Cod. catastale,A181
Targa,AG
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 311 GG[4]"
Nome abitanti,alessandrini
Patrono,Madonna della Rocca
Giorno festivo,Ultima Domenica di Agosto
Cartografia,Cartografia
Alessandria della Rocca,Alessandria della Rocca
Alessandria della Rocca – MappaPosizione del comune di Alessandria della Rocca nel libero consorzio comunale di Agrigento,Alessandria della Rocca – MappaPosizione del comune di Alessandria della Rocca nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
