San Giovanni Gemini comune,San Giovanni Gemini comune.1
,
San Giovanni Gemini – Veduta,San Giovanni Gemini – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Dino Zimbardo (lista civica costruire il futuro per San Giovanni gemini) dal 29-5-2023
Territorio,Territorio
Coordinate,37°37′45″N 13°38′30″E
Altitudine,670 m s.l.m.
Superficie,"26,56 km²"
Abitanti,7 389[1] (30-11-2025)
Densità,"278,2 ab./km²"
Comuni confinanti,Cammarata
Altre informazioni,Altre informazioni
Cod. postale,92020
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084036
Cod. catastale,H914
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 588 GG[3]"
Nome abitanti,sangiovannesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
San Giovanni Gemini,San Giovanni Gemini
San Giovanni Gemini – MappaPosizione del comune di San Giovanni Gemini nel libero consorzio comunale di Agrigento,San Giovanni Gemini – MappaPosizione del comune di San Giovanni Gemini nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
